imo,ism_name,ism_imo,ism_address,owner_name,owner_imo,owner_address,commercial_name,commercial_imo,commercial_address
9203772,BARCO SHIP MANAGEMENT INC,6389977,"Office 201, Art Thamani Tower, al-Asayel Street, Business Bay, Dubai, United Arab Emirates.",LOTKA INC,6415926,"C/O: Barco Ship Management Inc Office 201, Art Thamani Tower, al-Asayel Street, Business Bay, Dubai, United Arab Emirates.",BARCO SHIP MANAGEMENT INC,6389977,"Office 201, Art Thamani Tower, al-Asayel Street, Business Bay, Dubai, United Arab Emirates."
9237618,UNKNOWN,9991001,Unknown,STARLINE EXPRESS SHIPPING INC,6470985,"C/O: Safe Seas Ship Management FZE Office Building 2G-02, Hamriyah Free Zone, PO Box 53269, Sharjah, United Arab Emirates.",STARLINE EXPRESS SHIPPING INC,6470985,"C/O: Safe Seas Ship Management FZE Office Building 2G-02, Hamriyah Free Zone, PO Box 53269, Sharjah, United Arab Emirates."
9271573,MARISYN FLUXHAVEN LLC,0239223,"Apartment 5, Building 16, Estate 15, AZ 5000, Sumqayit Azerbaijan.",UNIHOLD LINE CORP,0198008,"C/O: 'Marisyn Fluxhaven' LLC Apartment 5, Building 16, Estate 15, AZ 5000, Sumqayit Azerbaijan.",MARISYN FLUXHAVEN LLC,0239223,"Apartment 5, Building 16, Estate 15, AZ 5000, Sumqayit Azerbaijan."
9191723,VECTIS MARITIME MANAGEMENT LTD,0166299,"Unit C, S36, 2nd Floor, Wong King Industrial Building, 3, Hing Wong Street, Tuen Mun, New Territories, Hong Kong, China.",VICTORY MARINE LTD-HKG,6239295,"Unit 3B, 3rd Floor, Yinhui Center, 351-353, King's Road, North Point, Hong Kong, China.",VECTIS MARITIME MANAGEMENT LTD,0166299,"Unit C, S36, 2nd Floor, Wong King Industrial Building, 3, Hing Wong Street, Tuen Mun, New Territories, Hong Kong, China."
9229362,AL ANCHOR SHIP MANAGEMENT FZE,6298746,"Executive Office D1-323, Sheikh Rashid Bin Saeed Al Maktoum Street, Ajman Free Zone, PO Box 932, Ajman, United Arab Emirates.",ROAD SHIPPING INC,6302979,"C/O: Al Anchor Ship Management FZE Executive Office D1-323, Sheikh Rashid Bin Saeed Al Maktoum Street, Ajman Free Zone, PO Box 932, Ajman, United Arab Emirates.",AL ANCHOR SHIP MANAGEMENT FZE,6298746,"Executive Office D1-323, Sheikh Rashid Bin Saeed Al Maktoum Street, Ajman Free Zone, PO Box 932, Ajman, United Arab Emirates."
9318096,TAIHU SHIPPING CO LTD,0234956,"Unit 102, Building 9, Tianci Liangyuan, Zhenjiang Lu, Shibei Qu, Qingdao, Shandong, 266000, China.",HONG KONG EASTRELIANT SHUNWAY,0358721,"C/O: Taihu Shipping Co Ltd Unit 102, Building 9, Tianci Liangyuan, Zhenjiang Lu, Shibei Qu, Qingdao, Shandong, 266000, China.",TAIHU SHIPPING CO LTD,0234956,"Unit 102, Building 9, Tianci Liangyuan, Zhenjiang Lu, Shibei Qu, Qingdao, Shandong, 266000, China."
9260809,UNKNOWN,9991001,Unknown,EGYPTIAN TANKER CO,5564100,"9, Dr Almahrouky Street from Salah Salem Road, Nasr, Cairo, Egypt.",EGYPTIAN TANKER CO,5564100,"9, Dr Almahrouky Street from Salah Salem Road, Nasr, Cairo, Egypt."
9290359,ZHOUSHAN YAOHAI SHIPPING,0316659,"Room 529, Building 2, 29, Wenhua Lu, Dinghai Qu, Zhoushan, Zhejiang, China.",AURORA AURA INC,0335772,"C/O: Zhoushan Yaohai Shipping Co Ltd Room 529, Building 2, 29, Wenhua Lu, Dinghai Qu, Zhoushan, Zhejiang, China.",ZHOUSHAN YAOHAI SHIPPING,0316659,"Room 529, Building 2, 29, Wenhua Lu, Dinghai Qu, Zhoushan, Zhejiang, China."
9291248,INTERNATIONAL MARINE MGMT CO,5236196,"95, Akti Miaouli, 185 38, Piraeus, Greece.",CORPLEASE,5932076,"Building B2112, Smart Village, Km 28, Cairo-Alexandria Desert Road, Giza, 12577, Egypt.",INTERNATIONAL MARINE MGMT CO,5236196,"95, Akti Miaouli, 185 38, Piraeus, Greece."
9404950,GUNGEN DENIZCILIK VE TICARET,1366389,"Halici Sokak 9, Gaziosmanpasa Mah, Cankaya, 06700, Ankara, Turkey.",GUNGEN DENIZCILIK VE TICARET,1366389,"Halici Sokak 9, Gaziosmanpasa Mah, Cankaya, 06700, Ankara, Turkey.",GUNGEN DENIZCILIK VE TICARET,1366389,"Halici Sokak 9, Gaziosmanpasa Mah, Cankaya, 06700, Ankara, Turkey."
9198666,NANJING CHANGHAO SHIPPING CO,6504104,"Room 109-1, Building 7, 521-1, Ningliu Lu, Changlu Jiedao, Jiangbei Xinqu, Nanjing, Jiangsu, China.",ONWELL CAPITAL LTD,6408456,"C/O: Nanjing Changhao Shipping Co Ltd Room 109-1, Building 7, 521-1, Ningliu Lu, Changlu Jiedao, Jiangbei Xinqu, Nanjing, Jiangsu, China.",NANJING CHANGHAO SHIPPING CO,6504104,"Room 109-1, Building 7, 521-1, Ningliu Lu, Changlu Jiedao, Jiangbei Xinqu, Nanjing, Jiangsu, China."
9247986,DEEP CURRENT SHIPPING LLC,0124442,"Flat 0248-316, Abdolaziz Abdoloh, Slzarquni Building, Al Mararr, Dubai, United Arab Emirates.",BLUE TIDE MARINE INC,0049968,"C/O: Deep Current Shipping LLC Flat 0248-316, Abdolaziz Abdoloh, Slzarquni Building, Al Mararr, Dubai, United Arab Emirates.",DEEP CURRENT SHIPPING LLC,0124442,"Flat 0248-316, Abdolaziz Abdoloh, Slzarquni Building, Al Mararr, Dubai, United Arab Emirates."
